,cell_type,count,genotype_merged,abundance
0,Immature,824,Runx1_KO,25.59006211180124
1,Aire,444,Runx1_KO,13.788819875776397
2,AT2,421,Runx1_KO,13.074534161490684
3,Ccl21a,384,Runx1_KO,11.925465838509316
4,Tuft,291,Runx1_KO,9.037267080745341
5,Keratinocyte,229,Runx1_KO,7.111801242236025
6,TAC-TEC,188,Runx1_KO,5.838509316770186
7,Late Aire,118,Runx1_KO,3.6645962732919255
8,Goblet,106,Runx1_KO,3.291925465838509
9,M Cell,87,Runx1_KO,2.701863354037267
10,Neuroendocrine,63,Runx1_KO,1.956521739130435
11,Ciliated,38,Runx1_KO,1.1801242236024845
12,Thymocyte,27,Runx1_KO,0.8385093167701863
13,Aire,7054,WT,44.21461702394384
14,Late Aire,1846,WT,11.570765952112323
15,TAC-TEC,1829,WT,11.464209602607497
16,Ccl21a,1418,WT,8.888053152814342
17,Tuft,1395,WT,8.74388867995487
18,Immature,864,WT,5.415569763068823
19,Keratinocyte,546,WT,3.4223392252726588
20,Neuroendocrine,386,WT,2.4194559358154692
21,M Cell,356,WT,2.2314153190422465
22,Thymocyte,132,WT,0.8273787138021812
23,Goblet,79,WT,0.49517362416948724
24,Ciliated,41,WT,0.2569888429234048
25,AT2,8,WT,0.050144164472859465
26,Aire,9555,Aire_KO,67.76595744680851
27,TAC-TEC,2305,Aire_KO,16.347517730496453
28,Tuft,806,Aire_KO,5.716312056737589
29,Late Aire,596,Aire_KO,4.226950354609929
30,Ccl21a,504,Aire_KO,3.5744680851063833
31,M Cell,86,Aire_KO,0.6099290780141844
32,Keratinocyte,82,Aire_KO,0.5815602836879432
33,Neuroendocrine,80,Aire_KO,0.5673758865248227
34,Thymocyte,30,Aire_KO,0.2127659574468085
35,Ciliated,29,Aire_KO,0.20567375886524822
36,Goblet,17,Aire_KO,0.12056737588652482
37,Immature,10,Aire_KO,0.07092198581560284
